architecture,target,probe_type,tier,timescale_ms,n_neurons,r2_trained_mean,r2_trained_max,delta_r2_mean,selectivity_mean,n_significant,dominant_diagnosis,diagnosis_counts
neural_ode,tc_m_T_rank,mlp_1,3,1.0,5,-0.00837043765932318,-0.0042351009324193,0.00039889074396342005,0.014738561391830399,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_T_rank,mlp_2,3,1.0,5,-0.0015985465259291,0.0005159497377462,-0.009939117461908559,0.014738561391830399,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_T_rank,ridge,3,1.0,5,0.015251939296722378,0.0231750726699829,0.000869996547699,0.014738561391830399,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_T_zscore,mlp_1,3,1.0,5,-0.00016522644145878007,0.0023320079781115,-0.014609024245873977,0.00952258300781246,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_T_zscore,mlp_2,3,1.0,5,0.0006509780883789002,0.0033727288246154,-0.02253758180886502,0.00952258300781246,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_T_zscore,ridge,3,1.0,5,0.01129815816879266,0.0219475865364074,0.00265477418899538,0.00952258300781246,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_h,mlp_1,2,100.0,5,0.09950565993785855,0.1266332566738128,0.02886642664670942,0.00270328366756438,3,STRUCTURAL,"{'STRUCTURAL': 4, 'SPURIOUS': 1}"
neural_ode,tc_m_h,mlp_2,2,100.0,5,0.09390458017587658,0.1250994056463241,0.019755281507968857,0.00270328366756438,3,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,tc_m_h,ridge,2,100.0,5,0.12624316930770868,0.1572993040084838,0.021068544387817342,0.00270328366756438,3,STRUCTURAL,{'STRUCTURAL': 5}
neural_ode,tc_m_h_rank,mlp_1,3,100.0,5,-0.006166267418302561,0.0009190201526507,0.00249718201812354,0.009814297318458521,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_h_rank,mlp_2,3,100.0,5,-0.0026141381124033997,-0.0011436581844463,-0.0035336994682438603,0.009814297318458521,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_h_rank,ridge,3,100.0,5,0.01058781147003166,0.0162831783294677,0.0013443756103515597,0.009814297318458521,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_h_zscore,mlp_1,3,100.0,5,0.00018082141759804003,0.0026712417602539,-0.015364565962227,0.009366784095764118,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_h_zscore,mlp_2,3,100.0,5,0.0006399893667548798,0.0032552003394812,-0.0273167113307863,0.009366784095764118,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
neural_ode,tc_m_h_zscore,ridge,3,100.0,5,0.01210134267807004,0.015497612953186,0.0009980821609496798,0.009366784095764118,5,EXPECTED_NULL,{'EXPECTED_NULL': 5}
volterra,G_T,mlp_1,1,5.0,5,0.5919957876205444,0.7144392132759094,-0.00344716310501096,0.5058647834062576,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,G_T,mlp_2,1,5.0,5,0.5659106135368347,0.6375312805175781,-0.00929034948348996,0.5058647834062576,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,G_T,ridge,1,5.0,5,0.5093703079223633,0.6255706906318664,0.0,0.5058647834062576,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,G_h,mlp_1,1,100.0,5,0.20784444585442544,0.3369137644767761,0.16348758395761248,0.48520571196079254,5,NONLINEAR_ENCODING,"{'NONLINEAR_ENCODING': 4, 'STRUCTURAL': 1}"
volterra,G_h,mlp_2,1,100.0,5,-7.208872127532959,-2.173214912414551,-1.1022935867309571,0.48520571196079254,5,GENUINE_ZOMBIE,"{'GENUINE_ZOMBIE': 3, 'SCALE_AMBIGUITY': 2}"
volterra,G_h,ridge,1,100.0,5,0.6137599158287048,0.6375166296958923,0.0,0.48520571196079254,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_GABA_A,mlp_1,1,5.0,5,-0.18713284134864802,-0.1704819649457931,-0.010636997222900341,0.17734582281112665,5,SCALE_AMBIGUITY,{'SCALE_AMBIGUITY': 5}
volterra,I_GABA_A,mlp_2,1,5.0,5,0.2737786829471588,0.314016729593277,0.00017905533313752002,0.17734582281112665,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_GABA_A,ridge,1,5.0,5,0.2667030715942383,0.3070706605911255,0.0,0.17734582281112665,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_GABA_B,mlp_1,1,150.0,5,0.4179911494255066,0.4503583312034607,-0.0013204455375671405,0.08068236851692194,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_GABA_B,mlp_2,1,150.0,5,0.6241972208023071,0.6491499543190002,0.00029553174972534,0.08068236851692194,5,STRUCTURAL,{'STRUCTURAL': 5}
volterra,I_GABA_B,ridge,1,150.0,5,0.6069847655296325,0.634747838973999,0.0,0.08068236851692194,5,STRUCTURAL,{'STRUCTURAL': 5}
