architecture,target,tier,group,timescale_ms,neuron_idx,probe_type,r2_trained,r2_untrained,delta_r2,selectivity,p_value,r2_null_mean,r2_null_std,block_size,tau_e,pearson_trained,pearson_untrained
lstm,I_h,1,tier1_identifiable,100.0,0,ridge,0.6509406447410584,0.5927538394927978,0.05818680524826059,0.5207166677713395,0.047619047619047616,0.13022397696971894,0.0026823249221910503,90,30,0.8072435259819031,0.7703668475151062
lstm,I_h,1,tier1_identifiable,100.0,0,mlp_1,0.7503656148910522,0.6232961416244507,0.12706947326660156,0.5207166677713395,0.047619047619047616,0.13022397696971894,0.0026823249221910503,90,30,0.8675063252449036,0.803353488445282
lstm,I_h,1,tier1_identifiable,100.0,0,mlp_2,0.7497208714485168,0.6999710202217102,0.04974985122680664,0.5207166677713395,0.047619047619047616,0.13022397696971894,0.0026823249221910503,90,30,0.8757821321487427,0.8532004356384277
lstm,I_h,1,tier1_identifiable,100.0,1,ridge,0.6422507524490356,0.6426349997520446,-0.000384247303009011,0.5234905087947845,0.047619047619047616,0.11876024365425109,0.0039029781145440133,96,32,0.8019149899482727,0.8032217025756836
lstm,I_h,1,tier1_identifiable,100.0,1,mlp_1,0.7549578547477722,0.6355010271072388,0.11945682764053345,0.5234905087947845,0.047619047619047616,0.11876024365425109,0.0039029781145440133,96,32,0.8708539009094238,0.8121250867843628
lstm,I_h,1,tier1_identifiable,100.0,1,mlp_2,0.7589230537414551,0.7346749901771545,0.024248063564300537,0.5234905087947845,0.047619047619047616,0.11876024365425109,0.0039029781145440133,96,32,0.8770627975463867,0.8740647435188293
lstm,I_h,1,tier1_identifiable,100.0,2,ridge,0.6185748100280761,0.6097358584403991,0.008838951587677002,0.5075982230901718,0.047619047619047616,0.11097658693790433,0.0030476917636562003,90,30,0.786902129650116,0.7812487483024597
lstm,I_h,1,tier1_identifiable,100.0,2,mlp_1,0.738561749458313,0.5867876410484314,0.1517741084098816,0.5075982230901718,0.047619047619047616,0.11097658693790433,0.0030476917636562003,90,30,0.8618015050888062,0.7864007353782654
lstm,I_h,1,tier1_identifiable,100.0,2,mlp_2,0.7399027347564697,0.7026482224464417,0.037254512310028076,0.5075982230901718,0.047619047619047616,0.11097658693790433,0.0030476917636562003,90,30,0.865798830986023,0.8565673828125
lstm,I_h,1,tier1_identifiable,100.0,3,ridge,0.5897573947906494,0.5833576917648315,0.006399703025817827,0.45873402357101434,0.047619047619047616,0.131023371219635,0.0033622475271267477,90,30,0.7686658501625061,0.7659538388252258
lstm,I_h,1,tier1_identifiable,100.0,3,mlp_1,0.7251073122024536,0.5979551672935486,0.12715214490890503,0.45873402357101434,0.047619047619047616,0.131023371219635,0.0033622475271267477,90,30,0.853506863117218,0.7889819145202637
lstm,I_h,1,tier1_identifiable,100.0,3,mlp_2,0.7354488968849182,0.6787375211715698,0.05671137571334839,0.45873402357101434,0.047619047619047616,0.131023371219635,0.0033622475271267477,90,30,0.8632314801216125,0.8393505811691284
lstm,I_h,1,tier1_identifiable,100.0,4,ridge,0.6711584806442261,0.6628024816513062,0.008355998992919944,0.5238089257478715,0.047619047619047616,0.14734955489635465,0.0033764754801686968,111,37,0.8195168375968933,0.8147098422050476
lstm,I_h,1,tier1_identifiable,100.0,4,mlp_1,0.7758151292800903,0.6757791042327881,0.10003602504730225,0.5238089257478715,0.047619047619047616,0.14734955489635465,0.0033764754801686968,111,37,0.882647693157196,0.8322080373764038
lstm,I_h,1,tier1_identifiable,100.0,4,mlp_2,0.7732641696929932,0.7318158149719238,0.041448354721069336,0.5238089257478715,0.047619047619047616,0.14734955489635465,0.0033764754801686968,111,37,0.886877179145813,0.8696026802062988
lstm,I_GABA_A,1,tier1_identifiable,5.0,0,ridge,0.32430527210235593,0.2675167679786682,0.056788504123687744,0.2226665663719177,0.047619047619047616,0.10163870573043823,0.002224763716218169,50,8,0.5759569406509399,0.527398407459259
lstm,I_GABA_A,1,tier1_identifiable,5.0,0,mlp_1,-0.0114081259816885,-0.02545994520187378,0.01405181922018528,0.2226665663719177,0.047619047619047616,0.10163870573043823,0.002224763716218169,50,8,0.4321116805076599,0.22934213280677795
